,category,title,instructor,price,numofstudents,numoflectures,rating,review,urls
407,웹 개발,"따라하며 배우는 노드, 리액트 시리즈 - 영화 사이트 만들기",John Ahn,0,5302명,총 17개 수업 / 수업,5.0,"""돈 주고도 들을 정도의 퀄리티가 무료라니 이건 정말 혁명입니다. 감사합니다.""DELIMITER111 ""5일간 열심히 달려서 본 강의를 마무리 했습니다! 클론코딩하면서 이해한 부분에 대해 정리하고, 정리한 걸 바탕으로 스스로 다시 코딩해보니 실력이 쑥쑥 느는걸 느끼네요! 다음 강의도 기대하겠습니다.""DELIMITER111 ""무료강의지만 상세한 설명과 좋은 퀄리티의 강좌입니다. 다만 node와 react에 대한 기초상식이 없으시다면 따라가기 힘드실테니 반드시 먼저 선행학습 하신 후 보시는 것을 추천드립니다.""DELIMITER111 ""강사님 강의는 들을지 말지 고민 같은거 안하고 듣게 되네요.""DELIMITER111 ""좋았던점 1. 앱의 구조를 한 눈에 볼 수 있게 다이어그램을 보여주셔서 이해가 쉽다. 2. 설명 정도의 깊이가 균일해서 (주로 코드의 동작을  간단히 설명) 간결하게 강의가 유지될 수 있다. 3. 강사님의 매너가 너무 가볍지도 않고 딱딱하지도 않다(정신없거나 너무 빠르거나 하지 않음).  혹시 수강하시려는 분은  -  HTTP, ES6지식 -  리액트 공식홈페이지의 기본 튜토리얼과 hook 튜토리얼 -  node 공식 사이트 튜토리얼  이정도만 보고 따라하시면 충분히 따라가실것 같습니다. 좋은 강의를 무료로 공유해주셔서 감사합니다! 덕분에 좀 더 쉽게 리액트를 배웠어요.""",https://www.inflearn.com/course/따라하며-배우는-노드-리액트-영화사이트-만들기
408,웹 개발,Web2 - OAuth 2.0,Egoing Lee,0,1213명,총 9개 수업 / 수업,4.9,"""Client, Resource Owner, Resource Server, Authorization Server 이 용어들을 다른 블로그에서는 어떤것인지 확실하지 않은 흐릿한 이론만 머릿속에 맴돌았는데 생활코딩 강의는 다른 블로그와 달리 그림과 예를들어 설명을 해주시니 바로 이해가 되었습니다.""DELIMITER111 ""간결하게 OAuth의 핵심에 대해서 잘 알 수 있었습니다.""DELIMITER111 ""auth 2.0 이해가 잘되었습니다.  한번 더 보면서 복습하겠습니다.""DELIMITER111 ""빠른 시간내에 개념 정리가 되는 강의였어요! 좋은 강의 감사합니다!~!!""DELIMITER111 ""oauth를 간단하게 익히고 이해하는데 도움이 됩니다.""",https://www.inflearn.com/course/web2-oauth2
409,웹 개발,생활코딩 - React class vs. function style coding,Egoing Lee,0,2513명,총 10개 수업 / 수업,4.9,"""너무 필요했던 강의 입니다!! 생활코딩 사랑해요 ㅋㅋㅋ""DELIMITER111 ""너무 좋아습니다.""DELIMITER111 ""감사합니다.""DELIMITER111 ""감사합니다.""DELIMITER111 ""시간도 적당하고 쉽게 공부할 수 있었어요 감사합니다!""",https://www.inflearn.com/course/react-class-function-생활코딩
410,웹 개발,생활코딩 - Redux,Egoing Lee,24200,1342명,총 18개 수업 / 수업,4.9,"""항상 좋은 수업 감사합니다""DELIMITER111 ""감사합니다.""DELIMITER111 ""리덕스 기본 개념을 쉽게!""DELIMITER111 ""리덕스의 개념을 깔끔하게 설명해주십니다 좋아요 !""DELIMITER111 ""redux 개념 어려운데 쉽게 가르쳐주셨어요""",https://www.inflearn.com/course/redux-생활코딩
411,웹 개발,자바(javafx) 실전 데스크탑앱 프로젝트 - 유튜브관리앱,김래옥,132000,71명,총 79개 수업 / 총 5시간 52분,5.0,"""정말 재밌어용""DELIMITER111 ""입문용으로 최고입니다""DELIMITER111 ""너무 좋은 강의였습니다.""DELIMITER111 ""좋아용 자바문법배우고 해볼게없었는데 ! !""DELIMITER111 ""감사 감사 합니다.""",https://www.inflearn.com/course/javafx-데스크탑-앱만들기
412,교양 · 기타,나도 할 수 있다! SW강사!,제주코딩베이스캠프,27500,93명,총 192개 수업 / 총 20시간 36분,4.6,"""내용은 좋은데 너무 많은 내용이라 다른 강의로 나누거나 정리가 필요할 것 같습니다~""DELIMITER111 ""SW 강사, SW 교육 유투버를 생각하고 있는, 저 같은 분들에게 추천 드릴만한 강의 입니다. 교육 컨텐츠나 교수법을 생각보다 아주 자세하게 다뤄주셔서 아주 좋네요! 제베코에서 나오는 서적이나 강좌는 못해도 평타라는 생각을 가지고는 있었는데 이번 강좌는 제가 필요해서 그런지 더욱 마음에 드네요 :) 좋은 강좌 감사드립니다.""DELIMITER111 ""좋은 강의 였습니다.! 짧은 강의 시간으로 틈틈이 보기 좋았으며 강의가 너무 많아 수강 완료를 하지 못한게 아쉽습니다. 좀 저학년 고학년 편으로 나뉘어 있으면 좋을듯 합니다.""DELIMITER111 ""자세한 수업내용 많은도움이 되어요""DELIMITER111 ""자세한 설명과 경험담이 많이 도움이 됐습니다. 재밌게 강의 듣고 있습니다. 감사합니다.""",https://www.inflearn.com/course/SW강사-강의
413,데이터 분석,R프로그래밍 중급,코코,55000,62명,총 17개 수업 / 총 2시간 48분,5.0,"""좋았습니다. 약간 다른 강의나, 책에는 없는  내용이 있던 점이 아주 좋았습니다. 혹시 R 프로그래밍 고급이나 R studio github에 관련한 강의가 있다면 좋을 것 같습니다!""DELIMITER111 ""도움이 되었습니다 감사합니다""DELIMITER111 ""R언어로 벌써 3년째 다양한 업무를 처리하고 있지만, 강사님께서 강의를 통해서 알려주신 내용 중에 너무 효율/효과적인 내용들이 많았습니다. 정말 알찬 강의였습니다!!""",https://www.inflearn.com/course/R-프로그래밍-중급
414,데이터 분석,[백문이불여일타] 데이터 분석을 위한 고급 SQL,데이터리안,11000,823명,총 32개 수업 / 총 5시간 4분,4.8,"""초보 실무자에게 매우 도움이 되는 강의였습니다.""DELIMITER111 ""현재 현업에서 SQL을 사용하고 있는 중이고, 개념을 전반적으로 다시 정리하기 위해 기초반부터 고급까지 전 강의 정주행 하였습니다. 먼저 강의 내용 자체는 정말 알차고 여러모로 큰 도움이 된 것 같습니다. 다만, 각각의 강의 영상 별로 볼륨 크기가 계속 차이가 난다던가 영상 도입 및 마감부에서 편집이 깔끔하지 못했던 부분들은 강의의 퀄리티 및 완성도 측면에서 조금은 아쉬운 부분인 것 같기도 합니다. 또한 이번 고급 강의처럼 기초/중급 레벨에도 강의 자료가 별도로 첨부되어 있었으면 각 레벨 별로 완강 이후 복습을 할 때 좀 더 효율적일 것 같습니다. 해당 개선점들에 대한 의견은 주관적인 부분이라 앞으로 강의 제작해주실 때 가볍게 참고해주셨으면 합니다. 좋은 강의 만들어주셔서 진심으로 감사드리고, 앞으로 새롭게 신설될 강의들도 기대하겠습니다!""DELIMITER111 ""지인이 중급까지만 들어도 실무 적용 가능하다고 했지만 역시 고급까지 듣길 참 잘했다는 생각이 듭니다. 어떤 기능들이 있는지, 어떻게 활용할 수 있는지 예시를 보는 것 만으로도 시야가 넓어지고 해보고 싶은 게 많아져서 열정이 뿜뿜하네요!! 감사합니다!""DELIMITER111 ""밝은 분위기의 가벼운 마음으로 양질의 수업을 들을 수 있었음에 감사합니다""DELIMITER111 ""감사합니다~ 매우 만족스러운 강의였습니다. gamemailwon@gmail.com""",https://www.inflearn.com/course/데이터-분석-고급-sql
415,웹 개발,"웹 개발 슈퍼 기초 (HTML, CSS, Javascript)",개복치개발자,0,170명,총 18개 수업 / 총 1시간 58분,4.7,"""초보자가 듣기 좋은 강의 같아요""DELIMITER111 ""쉽게 설명해주시고, 간단 명료해서 너무 좋았어요 👍  개복치개발자님, 강의 만들어 주셔서 감사해요 😄""DELIMITER111 ""이해하기 쉽게 설명해주셔서 재밌게 들었습니다 :)""DELIMITER111 ""좋은 강의 감사합니다.""DELIMITER111 ""html,css 를 빠르게 훑기 참 좋네요. 깊이 들어가려면 이거 또한 오랜시간 공부해야되지만, 아무것도 모를때 감 잡기 좋습니다.""",https://www.inflearn.com/course/웹-개발-기초-입문
416,보안,웹 해킹과 모의해킹 현업에 대한 이야기,크리핵티브,16500,2198명,총 7개 수업 / 총 1시간 41분,4.8,"""감사합니다!""DELIMITER111 ""공감되는 부분이 많네요 취약점 진단을 하면서 그게 모의해킹인줄 아는 분들이 많이 있더라구요 공부 방향 참고해서 학습하겠습니다 감사합니다""DELIMITER111 ""현실적인 조언이 많이 되었어요!""DELIMITER111 ""감사합니다""DELIMITER111 ""기본적인 내용 및 공부 방향에 큰 도움이 되었습니다""",https://www.inflearn.com/course/web-hacking-모의-해킹
417,웹 개발,3D리플릿 만들기 - 인터랙티브 웹 프로젝트,1분코딩,16500,392명,총 15개 수업 / 총 1시간 40분,4.9,"""알찬 강의라고 생각합니다. 덕분에 자바스크립트에 대해 조금씩 알아가고 있는 것 같습니다! 감사합니다 !""DELIMITER111 ""독특한 웹 구현에 대한 갈증이 항상 있어서 찾아보면 다 해외 자료에..소스만 있고 설명이 부족해서 공부하기가 힘들었는데, 이렇게 예제를 집요하게 하나하나 파고드는 강의가 있어서 너무 좋습니다! 계속 또 만들어주세욬ㅋㅋ""DELIMITER111 ""스튜디오밀 선생님 믿고 봅니다. 너무 재밌게 잘 들었어요. 추천합니다!""DELIMITER111 ""너무 좋아요.이런 강의 많이 올려주세요!! 설명도 자세히 해주셔서 이해하기 좋았습니다.  화면  스크린 계산 하는 것 에 익숙해질수 있는 강의 듣고 싶어요!""DELIMITER111 ""너무다 도움되는 수업이었습니다 감사합니다!""",https://www.inflearn.com/course/인터랙티브웹-리플릿만들기
418,프로그래밍 언어,Java TPC 실전프로젝트(Java API 활용),박매일,22000,428명,총 43개 수업 / 총 14시간,4.5,"""안녕하세요.  지난번 JavaTPC 강의에 이어서 JavaTPCProject 실무 강의를 완강했습니다.  JavaTPC에서는 Java의 기초(클래스, 객체지향 프로그래밍, 다형성, 인터페이스 등등)에 대해서 수업을 했다면 JavaTPCProject는 그 기초를 가지고 6개의 예제를 학습해보는 시간을 가졌는데요. 처음부터 InputStream, OutputStream등의 어렵고 복잡한 용어들이 나와서 많이 당황스러웠습니다. 하지만 마음을 잡고, 차츰 강의를 들으면서 ""이게 이런상황에서 쓰이는구나.""를 알게 되었고, 모르는 부분은 구글링을 하면서 찾아 보았습니다.  정말 완강까지 쉽지 않은 과정이었습니다. 하지만, JSON, Excel 부분은 실무에서도 많이 쓰이다 보니깐, 그 부분들을 제대로 배우기 위해서 이 강의를 완강하게 되지 않았나 싶습니다.  특히, 저에게는 Naver API를 활용하여 프로젝트를 진행하는 것이 상당히 인상깊었습니다. 이전에는 막연히 API라는 단어를 쓰면서 저도 모르는 경우가 많았지만, 실제로 활용해보면서 약간이나마 활용법을 알게 되었습니다. 그리고 향후 제가 SPRING을 이용해서 웹개발을 진행할때에도 포털 사이트에서 제공해주는 API를 이용하면 이용자들에게 좀 더 다양한 정보를 보여줄수 있겠다는 생각을 해봤습니다. 이 부분은 내년(2021년)에 한 번 구현을 해보도록 하겠습니다.  JavaTPC 강의를 들으신 분들께서, JavaTPCProject 강의를 처음 부분만 들으면 ""이해가 안간다""DELIMITER111 ""왜 이런 것이 갑자기 튀어나오지?""하는 생각이 들으실겁니다. 하지만, 실제 프로젝트에서는 파일을 이용하여 데이터를 주고받는 일이 상당히 많이 있습니다. 그래서 강의 처음부분이 이해가 안가시더라도, 일단 참고 끝까지 완강을 해주셨으면 좋겠습니다. 만약에 너무 바빠서 강의를 들을 시간이 없으시다면, JSON, Excel 부분은 꼭 필히 들어주시기를 바랍니다. 아까 언급했듯이 프로젝트에서 상당히 많이 쓰이기 때문이죠.(JSON은 Front와 Back에서 데이터를 주고받을 때에 많이 쓰이고, Excel은 조회된 데이터들을 엑셀 다운로드 받으면 실행되는 부분이 많습니다.)  두서없이 글을 작성해서 문장의 앞뒤가 안맞습니다. 이 부분은 제 수강평을 읽어주시는 분들께서 이해좀 부탁드리겠습니다.  이제 두번째 인터넷 강의를 완강했는데, 내년에는 두 개를 넘어서 세개, 네개를 완강해서 프로젝트에서 도움이 되는 개발자로 성장하도록 하겠습니다. 감사합니다!""DELIMITER111 ""TPC part 1~2 강의 아주 유익하게 들었던 학생입니다. 원리를 설명해주시는 강의에 만족을 해서 이번 실습 강의도 수강했습니다. 하지만, i.o나 GUI와 관련된 개념 설명이 없어서 이해가 잘 안 됐습니다. 우선 코드를 베껴서 공부는 하는데 원리를 이해하지 못하고 하는 느낌이라 아쉽네요.  물론 실습 강의라 i.o 나 GUI 관련 개념은 숙지했다는 가정 하에 강의를 만드신 것 같지만, 개념이 부족한 학생 입장에서는 이해가 잘 안되서 아쉬웠습니다.   ""DELIMITER111 ""단계별로 JSON API를 사용해보고 네이버 MAP API와 열결해보니 재미있습니다. 네이버 클라우드 플랫폼 가입이 좀 어려웠는데 따라해보니 잘 되었습니다.^^ 계속 잘 따라 해보겠습니다.""DELIMITER111 "".""DELIMITER111 ""자세한 설명과 실습으로 도움이 만이 되었습니다.!""",https://www.inflearn.com/course/자바api활용-실전프로젝트
419,웹 개발,윤재성의 스프링 프레임워크 개발자를 위한 실습을 통한 입문 과정,소프트캠퍼스,55000,515명,총 30개 수업 / 총 12시간 5분,4.6,"""인프런 스프링강좌와 해당 강좌를 둘다 듣는 입장에서 장단점을 말해보면 일단 인프런 스프링 강좌는 들으면 스프링을 통해 이렇게 코드를 작성하면 된다는 전체적인 흐름은 알려주지만 세세한 부분은 퉁치는 느낌이라면 해당강좌는 스프링의 기본에 충실한 느낌입니다 장단점이 딱 상이하다고 해야할까 결론은 둘다 들으면 상당한 시너지 효과를 기대될거라고 생각하구요 다음 스텝인 스프링MVC와 스트링부트가 기다려지네요""DELIMITER111 ""양이 너무많은걸 한번에 설명해주셔서좀 헷갈려요 ㅠㅠ.""DELIMITER111 ""최고의 강의입니다 천천히 기본 설명해주시는것도 좋고 특히 복습해주시는것이 상당히 좋습니다 예를 들어 지난 4강에서 배운거를 5강에서 한번 더 해 주시는데 복습도 되고 상당히 좋습니다 최고의 강의 입니다 감사합니다""DELIMITER111 ""정리에 큰 도움이 되었습니다~!! 감사합니다~""DELIMITER111 ""설명도 잘 해주시고 이미 스프링 공부를 하셨던 분이 들으시면 더욱 좋을거 같습니다""",https://www.inflearn.com/course/스프링-프레임워크-입문
420,프로그래밍 언어,제주코딩베이스캠프 Code Festival: Python 100제,제주코딩베이스캠프,0,668명,총 133개 수업 / 총 14시간 24분,4.9,"""좋은 강의 감사합니다.""DELIMITER111 ""알고리즘 문제도 처음보는 참신한 문제가 많았고, 해설 강의도 기초부터 차근차근 알려주셔서 코딩테스트하는데 도움이 많이 됐어요!ㅠㅠ 감사합니다!!!ㅠㅠㅠㅠ""DELIMITER111 ""좋은 내용을 전달력 있게 알려주셔서 고맙습니다""DELIMITER111 ""감사합니다~~!""DELIMITER111 ""제게 알고리즘은 참 난해한 것이었어요. 아무리 교수님 수업을 듣고 여러 강의들을 들어도 이해가 안됐는데, 이번에 제코베 강의를 들으면서 알고리즘을 이해하게 되었습니다. 아직 미숙하지만 이렇게 공부하면 앞으로 알고리즘 장인이 될 수 있을 것 같아요ㅎㅎ 이렇게 좋은 강의와 자료들 나눠주셔서 감사합니다!""",https://www.inflearn.com/course/파이썬-100제-제주코딩베이스캠프
421,웹 개발,"2022 30분 요약 강좌 시즌 1 : HTML, CSS, Linux, Bootstrap, Python, JS",제주코딩베이스캠프,88000,6628명,총 27개 5분 / 5분,4.8,"""속도가 엄청나네요 ㅋㅋㅋ 너무 재밌어요 대박... 겨우 30분 짜리 강의인데 (물론 듣는데는 오래 걸렸습니다만 😂) 그동안 html이 재밌어졌어요 ㅋㅋㅋ 이렇게 재밌는지 몰랐어요 ㅠㅠ 대박 너무 감사합니다""DELIMITER111 ""강의 쉽고 재밌네요""DELIMITER111 ""Python의 새로운 구문과 HTML, CSS, JS의 개념을 짧은 시간에 핵심만 짚어주셔서 많은 도움이 되었습니다 감사합니다""DELIMITER111 ""빠르고 쉽게 배울 수 있어요""DELIMITER111 ""감사합니다.""",https://www.inflearn.com/course/제주코딩-웹개발-30분요약
422,수학,정보올림피아드(중등),가을,22000,90명,총 18개 수업 / 총 4시간 10분,5.0,"""문제 해석을 쉽게 해주셔서 감사합니다. ^^""DELIMITER111 ""너무 좋은 풀이 감사드립니다. 디테일하게 전문적으로 강의가 체계적으로 진행되어 전문가가 아니어도 이해할 수 있었습니다. 문제가 다소 어려 웠으나 너무 풀이가 좋아 평가 남겨요~""DELIMITER111 ""전부터 궁금했던 문제를 쉽게 이해할 수 있게 설명해주셔서 좋았습니다!""DELIMITER111 ""너무 멋진 강좌 감사합니다.^^""DELIMITER111 ""지금까지 너무 잠이오는 해설들밖에 못봤는데 설명도 깔끔하고 너무 좋아요!""",https://www.inflearn.com/course/정보올림피아드-중등
423,웹 개발,진짜 입문자를 위한 클라우드와 AWS,호눅스,33000,800명,총 11개 수업 / 총 1시간 33분,4.7,"""좋은 강의. 추천합니다!""DELIMITER111 ""AWS의 많은 서비스들을 처음 보았을 때 그 많은 개수의 서비스와 낯선 용어들 때문에 겁을 먹었습니다. 제가 얻은 가장 큰 수확은 적어도 이제는 클라우드에 대해 한 마디로 정의할 수 있게 되었고, AWS 서비스 중 어디부터 시작해야하는지 방향을 얻었다는 것입니다. 다음 강좌가 기대됩니다!!""DELIMITER111 ""초보자인 저에게 유용했어요 단지 마이크 우웅 소리만 재녹음 해주시면..ㅠㅠ 강의는 간결하고 좋았습니다! 다음 강의도 기다리겠습니다""DELIMITER111 ""잘 봤습니다.""DELIMITER111 ""강의 정말 잘 들었습니다! 혹시 다음 강좌는 언제 열릴까요??""",https://www.inflearn.com/course/aws-starter
424,웹 개발,디자인 패턴 with JAVA (GoF),이재환,44000,757명,총 21개 수업 / 총 3시간 19분,4.4,"""공개강의만 보고 실무예제로 되어있을지 알았는데.. 그런거 없습니다.. 유투브 무료강좌랑 차이가 없는데 3만원이 넘는다는건 좀 비싸네요..""DELIMITER111 ""강의 내용이 생각보다 좀 아쉽네요 실무에서 바로 사용할 수 있을 정도로 깊이 있는 실무 코드를 생각했는데 조금 아쉽습니다 그리고 초반부에는 차근히 작성하면서 진행하는 반면 중 후반부 부터는 그냥  소스코드 붙여넣고 대략적으로 설명하시는 부분도 좀 아쉬웠고요  차근히 스텝별로 코드 작성하면서 진행하면 이해하기도 더 좋고 했을텐데  너무 빠르게 코드 붙여넣고 설명하면서 훅 넘어가니까 놓쳐서 다시 뒤로 돌려서 보는 부분도 많았네요 하지만 기초가 부족하거나 디자인패턴에 대한 기본이 아예 안되신 분들에게는 이런 패턴은 이런 식으로 구현하는 구나 라고 느낌이 오실 것 같습니다 여튼 전반적으로 아쉬운 퀄리티의 강의 입니다""DELIMITER111 ""디자인 패턴 공부하려고 책도 사서 보고  유튜브 강의도 봤는데 그것들 보다 이해하는데 도움이 되었습니다.  각 패턴을 단계별로 설명해 주시는 부분이 좋습니다. 하지만 모든 패턴 설명이 그렇지는 않았습니다. 강의 소개 보고 많이 기대하고 수강해서 그런지 별 하나 뺐습니다.  프리라이프님 강의 평가에 공감이 됩니다.""DELIMITER111 ""디자인패턴이 무엇인지 입문하기에 도움이 되는 강좌입니다.""DELIMITER111 ""솔직히 강의가 디자인 패턴에 대한 개괄적인 설명이지, 이걸 들어서 더 이해된다거나 디자인패턴을 써야 겠다는 생각은 안들어요. ( 지적 만족이 될지 않네요 ㅠㅠ ) 아예 모르시는 분들은 개괄적으로 아는 차원에서 도움 될 것 같아요.""",https://www.inflearn.com/course/Design-pattern-java
425,웹 개발,예제로 배우는 스프링부트 입문,이재환,33000,436명,총 32개 수업 / 총 5시간 32분,4.5,"""어렵게만 느껴졌던 스프링부트를 아주 쉽게 설명해 주셔서 큰 도움이 되었습니다.  다른 강의나 책을 많이 봤지만 이 강의처럼 귀에 쏙쏙 들어오는건 처음인거 같습니다.  스프링부트에 입문하시는 개발자분들이라면 이 강의 추천하고 싶네요~ 열공하세욤...^^""DELIMITER111 """"밤새는 일이 줄어 듭니다"" 이건 명언이다. 스프링부트는 스프링 시리즈 중 가장 최근 기술이다. 스프링부트로 개발하는 건 힙한 일이지만 부트로 스프링을 입문하는건 비추다. 왜냐하면 부트는 그간 스프링 기술이 압축된 결과물이라. 입문자를 전혀 배려하지 않는 기술이기 때문이다. 저는 개발을 쭉해서 기본기는 있다고 생각했지만 스프링의 어노테이션을 볼때면 덮어두고 코드를 개발하는 느낌이라 영 찝찝했습니다. 그런데 이 강의는 스프링부트지만 예전 기술과 연결해서 부트 기술을 사용할 수 있게 해줘서 조금 어노테이션을 보는 찝찝함을 덜게 해줬습니다.  뭔가 길게 말했는데 결론은 스프링부트 입문자라면 이 강의 강추입니다. 어차피 어떤 기술을 익힐려고 한다면 강의 하나로 모든 기술을 알 수는 없습니다. 여러 강의를 보면서 기술이 숙련이 되는거라고 생각합니다. 그런면에서 이 강의는 소장각입니다.""DELIMITER111 ""설명이 많이 미흡하네요""DELIMITER111 ""스프링과 스프링부트 사용방법이 상이하여 많이 어려웠는데 스프링부트에 관해 너무나도 상세히 그리고 체계적으로 구분하여 설명해 주셔서 지금까지 이해하지 못했던 부분도 여러번 반복해서 보면서 이해할 수 있었으며, 동영상 시청 후 바로 적용하여 실습하는 것이 가능 할 것 같은 자신감도 생겼습니다.  정말 감사합니다.""DELIMITER111 ""처음 강의를 들을때 강사의 목소리 톤 / 속도 때문에 적응하는데 힘들었습니다. 약간 대본을 읽는 듯한 강사의 진행이 강의의 몰입을 방해하는 요소가 되었습니다. 스프링부트로 프로젝트 할 일이 생겨 책 2권 정도 보고 난 후 정리하는 기분으로 수강했는데, 내용 자체는 나쁘지 않았습니다만 군데군데 설명이 좀 부족한 부분도 있었고 쪼개지 않아도 될 내용들을 쪼개서 늘리는 곳도 있어서 몇몇 구성은 (특히, 트랜잭션) 좀 아쉬웠습니다.  무료강의였다면 별5개를 드렸을것 같은데, 유료강의 치고는 좀 부족함을 느껴 별3개로 합니다.""",https://www.inflearn.com/course/스프링부트-웹프로그래밍
426,모바일 앱 개발,"Flutter 중급 - Http통신, 상태관리",오준석,88000,736명,총 35개 수업 / 총 4시간 28분,4.6,"""UI 구현에 이어 비즈니스로직 다루는 방법이 설명되어 아주 좋았습니다! :)""DELIMITER111 ""플러터에 대해서 사용방법을 알게 되었습니다. 단순히 책으로만 봤을 때와 다르게 영상을 통해 보니 이해되지 않던 부분이 잘 이해되었습니다.  따라하기 중에 조금 어려웠던 부분도 있었지만 반복해서 보니 이해가 되네요. ^^ 플러터가 계속 업데이트로 인해서 조금 다른 부분은 조금 아쉬웠습니다. 따라하다가 전혀 되지 않아서 당황한 부분도 있었습니다. 그래도 플러터에 대해서 스킬업이 되는 좋은 강좌였습니다.   감사합니다.""DELIMITER111 ""유용한 강의기는 한데 중급까지 들어도 아직 잘 모르겠네요  flutter 그룹에서 어느분이 추천하신대로 udemy에서 flutter 강의 세개 정도 결제  해서 추가로 더 공부해보고 반복학습을 해보려고 합니다 오준석 쌤 강의를 보고 최소한 Flutter가 무엇인지는 알게 된것 같아 감사드립니다""DELIMITER111 ""중급이라고 하기에는 강좌 난이도가 조금 낮네요. 초급 후반 정도 수준인것 같습니다.""DELIMITER111 ""많은 도움이 되었습니다. 현재 기준으로 변경되서 안되는 부분들이 오히려 찾아보고 공부할 수 있는 기회가 되었습니다. 감사합니다.""",https://www.inflearn.com/course/flutter_중급
427,모바일 앱 개발,iOS 개발을 위한 swift5 완벽 가이드,KxCoding,88000,288명,총 149개 수업 / 총 20시간 57분,4.5,"""좋은 강의 감사합니다.""DELIMITER111 ""좋은 강의 잘들었습니다.""DELIMITER111 ""Good good""DELIMITER111 ""스위프트 언어나 iOS개발을 전혀 몰라도 이해하기 쉬웠고 저는 어느정도 OOP에 대한 개념을 이해하고 있어서 1.5배속으로 봤습니다. 이해하시지 못하신 분들은 천천히 보시면서 모르는 내용이 나와도 나중에 다시 설명해주는 부분이 있으니 반복해서 학습하시면 될 것 같습니다. 스위프트 재밌네요 ㅎㅎ""DELIMITER111 ""강의 예시가 너무좋고 설명이  알아듣기 쉽습니다. 다만 처음부터 swift를 공부한다고 생각하고 보면 여러번 보면서 이해해야할거 같습니다. 여러번 다시 들을수록 더 좋은 강의로 느껴질거같습니다.""",https://www.inflearn.com/course/Swift-KXcoding
428,웹 개발,리눅스 IPC 프로그래밍 - 이론과 실습,ProgCoach4U,0,303명,총 29개 수업 / 총 11시간 27분,4.8,"""제겐 정말 완벽한 리눅스 IPC 강의였습니다.  정말 감사합니다. 최고에요!!""DELIMITER111 ""초보 입장에서는 적절한 내용 수준과 호흡으로 진행되었기에 좋았습니다만, 몇 몇 예제는 이전의 ""시스템 프로그래밍"" 예제와 겹쳐서 두 강좌를 연이어 들은 저로서는 다소 아쉬움이 남습니다.""DELIMITER111 ""좋은 강의였습니다.""DELIMITER111 ""ipc의 개념이 잡히는 훌륭한 강의였네요...""DELIMITER111 ""많은 분량으로 공부하기 쉽지않은 부분을 잘 설명해 주셨습니다. 내용을 듣는다고 다 이해가 되진 않지만, 나중에 실무에서 사용할때 도움이 많이 될것 같습니다.""",https://www.inflearn.com/course/리눅스ipc프로그래밍
429,웹 개발,예제로 배우는 스프링 입문 (개정판),백기선,66000,17140명,총 13개 수업 / 총 2시간 26분,4.8,"""어렵네요. 입문용이니 강의 내용 자체는 그렇지도 않을 것 같은데 git이나 커맨드 입력이나 인텔리제이 같은 생소한 부분이 많아서 이해하기 어려운 부분이 있습니다.""DELIMITER111 ""잊어버리기 전에 다른 영상들도 얼른 봐야겠다""DELIMITER111 ""부트를 안배우고 스프링만 배워나온 주니어 개발자입니다. 입문이어서 스프링 설치부터 다시 복습할 목적으로 켰는데 ㅠ_ㅠ 프로젝트자체가 부트기반이라 헷갈리는 부분이 있네요.  스프링 입문이라고 보기엔 어려운거같습니다.""DELIMITER111 ""마이크도 구린건지 강의 목소리가 갈라지고, 뭐 중간중간마다 안되어가지고 반복하는게 많습니다. 물론 강의 내용은 좋은데 얘기하는 난이도도 들쑥날쑥이라 어느수준에서 들어야하는지도 애매합니다.  예제나 프로젝트를 미리 해보고 강의를 찍는지가 의심될정도로 한번에 하는게 없습니다.""DELIMITER111 ""기선님의 강좌가 없었으면, 정말 힘들게 스프링을 공부하고 사용하게 되었을 것 같아요. 항상 감사드립니다. 그리고 이렇게 스프링의 핵심 개념을 무료로 배포해 주셔서 감사합니다.  계속 계속 꾸준히 좋은 스프링 강좌 만들어 주세요 !! :)""",https://www.inflearn.com/course/spring_revised_edition
430,게임 개발,언리얼4 블루프린트로 안드로이드 게임 만들기,린반,44000,129명,총 55개 수업 / 총 15시간 36분,4.8,"""언리얼 시작 5일차, 4일간의 방황을 했기에 이 강의의 소중함을 알 수 있었다. 아직 5% 밖에 듣지 않았음에도 수강료가 아깝지 않다.""DELIMITER111 ""영상 처음부터 끝까지 완강했어요. 정말 정말 도움이 됬어요. 감사합니다^^""DELIMITER111 ""저용량 모바일 게임을 만드는 방법을 쉽게 배울수 있어 좋았던거 같습니다. 다만 아쉬운건 중간중간에 블루 프린트 명령어에 대한 설명들이 부족해서 입문 하시는분에게는 좀 어려울수도 있겠다는 생각이 들며  언리얼엔진을 처음 하시는분은 언리얼엔진 공식 튜토리얼을 보시고 도전해보시는것이 좋을거 같습니다.~ 그래도 다른 언리얼 엔진 강좌보다는 유익하고 도움이 많이 된 강좌인거 같습니다. 다음에 시즌2 강좌도 있었으면 좋겠습니다.""DELIMITER111 ""따라 해보고 고민하며 실력을 금방 키울수 있는 좋은 강의입니다. 초보자분들께 적극 추천드리며 언리얼 공식 강의이외에도 이와 같은 좋은 강의들이 많이 제작되면 좋겠네요.""DELIMITER111 ""너무 좋아요""",https://www.inflearn.com/course/언리얼4-2
